ds_name,approach,jobs_count,partitions,rt,tot_words_unique,top_words,description
100,Single-Pass MapReduce,1,2,0.878593921661377,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('not', 54), ('all', 54), ('their', 53), ('but', 53), ('one', 53), ('which', 53), ('also', 51), ('can', 48), ('you', 47), ('time', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('new', 43), ('out', 43), ('over', 43)]","Memory efficient, single job, early deduplication"
100,Three-Stage MapReduce,3,2,0.1503739356994629,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('but', 53), ('their', 53), ('one', 53), ('which', 53), ('also', 51), ('can', 48), ('you', 47), ('time', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('new', 43), ('over', 43), ('out', 43)]","Three jobs, maximum clarity, most overhead"
100,Single-Pass MapReduce,1,4,0.11763501167297363,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('their', 53), ('one', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('new', 43), ('first', 43), ('out', 43), ('over', 43)]","Memory efficient, single job, early deduplication"
100,Three-Stage MapReduce,3,4,0.143035888671875,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('their', 53), ('one', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('new', 43), ('first', 43), ('out', 43), ('over', 43)]","Three jobs, maximum clarity, most overhead"
100,Single-Pass MapReduce,1,8,0.13859891891479492,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('one', 53), ('their', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('over', 43), ('new', 43), ('out', 43)]","Memory efficient, single job, early deduplication"
100,Three-Stage MapReduce,3,8,0.17447113990783691,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('one', 53), ('their', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('over', 43), ('new', 43), ('out', 43)]","Three jobs, maximum clarity, most overhead"
1000,Single-Pass MapReduce,1,2,0.23732876777648926,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('time', 391)]","Memory efficient, single job, early deduplication"
1000,Three-Stage MapReduce,3,2,0.23868799209594727,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('time', 391)]","Three jobs, maximum clarity, most overhead"
1000,Single-Pass MapReduce,1,4,0.12393593788146973,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('time', 391)]","Memory efficient, single job, early deduplication"
1000,Three-Stage MapReduce,3,4,0.19179010391235352,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('been', 391)]","Three jobs, maximum clarity, most overhead"
